"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.809281230E1,4.132343659E1,1.976061700E1,1.106164107E2,1.510424477E2,6.246078375E-2,NaN,3.597195364E-2,2.216096407E0,1.264762301E1,-1.000000000E0
7.909336984E1,4.132343669E1,1.976061678E1,1.106218180E2,1.510478542E2,4.195915950E-2,NaN,3.597716213E-2,2.207250698E0,1.286168998E1,-1.000000000E0
8.009862137E1,4.132343671E1,1.976061683E1,1.107048706E2,1.511309071E2,2.687032150E-2,NaN,3.599523690E-2,2.207251152E0,1.277596891E1,-1.000000000E0
8.109381831E1,4.132343683E1,1.976061669E1,1.107367935E2,1.511628297E2,9.316926161E-2,NaN,3.599898196E-2,2.198656651E0,1.276081525E1,-1.000000000E0
8.209290755E1,4.132343686E1,1.976061669E1,1.109322620E2,1.513582983E2,4.048294079E-2,NaN,3.600346622E-2,2.198679556E0,1.273714425E1,-1.000000000E0
8.309266329E1,4.132343689E1,1.976061673E1,1.110545775E2,1.514806143E2,5.081024197E-2,NaN,3.602373020E-2,2.198702379E0,1.269819347E1,-1.000000000E0
8.409970415E1,4.132343707E1,1.976061668E1,1.111539819E2,1.515800191E2,5.044331187E-2,NaN,3.602560236E-2,2.190838174E0,1.315325204E1,-1.000000000E0
8.509442270E1,4.132343708E1,1.976061670E1,1.113439098E2,1.517699471E2,7.341241134E-2,NaN,3.604533328E-2,2.190817195E0,1.320344107E1,-1.000000000E0
8.609608746E1,4.132343726E1,1.976061669E1,1.115022167E2,1.519282547E2,7.496769752E-2,NaN,3.606221262E-2,2.183341695E0,1.345481224E1,-1.000000000E0
8.709324431E1,4.132343741E1,1.976061667E1,1.116907555E2,1.521167941E2,9.349687282E-2,NaN,3.606353626E-2,2.176030166E0,1.347274881E1,-1.000000000E0
8.809888589E1,4.132343740E1,1.976061666E1,1.117396548E2,1.521656933E2,1.183838154E-1,NaN,3.606467411E-2,2.176053504E0,1.345385166E1,-1.000000000E0
8.909393466E1,4.132343741E1,1.976061667E1,1.117020833E2,1.521281218E2,9.993956928E-2,NaN,3.607026542E-2,2.176076466E0,1.350842696E1,-1.000000000E0
9.009293854E1,4.132343737E1,1.976061663E1,1.116987306E2,1.521247687E2,1.616899095E-1,NaN,3.608325778E-2,2.175972969E0,1.334177413E1,-1.000000000E0
9.109408820E1,4.132343747E1,1.976061655E1,1.117620657E2,1.521881038E2,5.509390447E-2,NaN,3.608581988E-2,2.168678196E0,1.342087572E1,-1.000000000E0
9.209730482E1,4.132343746E1,1.976061653E1,1.117904759E2,1.522165139E2,1.077091394E-1,NaN,3.608779487E-2,2.168580955E0,1.322652343E1,-1.000000000E0
