"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.427880667E0,2.940469360E1,-1.571318817E1,3.942205811E1,5.162982620E1
1.437811667E0,2.923068237E1,-1.590548706E1,3.912783432E1,5.136540401E1
1.447743667E0,2.934365082E1,-1.596823883E1,3.950110626E1,5.173366303E1
1.457675667E0,2.954871368E1,-1.603262329E1,3.949214172E1,5.186328902E1
1.467606667E0,2.943403625E1,-1.609083557E1,3.929587555E1,5.166665573E1
1.477538667E0,2.925727081E1,-1.599143982E1,3.920317841E1,5.146458238E1
1.487470667E0,2.915452576E1,-1.603093719E1,3.938288879E1,5.155569075E1
1.497401667E0,2.952879333E1,-1.572698212E1,3.950360107E1,5.176699818E1
1.507333667E0,2.930387878E1,-1.570735168E1,3.985227203E1,5.190030631E1
1.517265667E0,2.941296387E1,-1.593144226E1,3.965540314E1,5.187951709E1
1.527196667E0,2.908715057E1,-1.588635254E1,3.936938477E1,5.146248131E1
1.537128667E0,2.941063690E1,-1.592216492E1,3.947384644E1,5.173669347E1
1.547059667E0,2.954320526E1,-1.566669464E1,3.927868652E1,5.158547773E1
1.556991667E0,2.942529297E1,-1.609053802E1,3.922913361E1,5.161083417E1
1.566923667E0,2.927908325E1,-1.629364014E1,3.917853546E1,5.155293460E1
1.576854667E0,2.939410400E1,-1.585491943E1,3.920678711E1,5.150304822E1
1.586786667E0,2.941300201E1,-1.593979645E1,3.939698029E1,5.168485130E1
1.596718667E0,2.963262939E1,-1.614214325E1,3.948037720E1,5.193613094E1
1.606649667E0,2.927477264E1,-1.607472229E1,3.923867035E1,5.152749034E1
1.616581667E0,2.942983246E1,-1.592322540E1,3.957602692E1,5.182592066E1
1.626513667E0,2.942516327E1,-1.576009369E1,3.958812332E1,5.178262541E1
1.636444667E0,2.932751465E1,-1.559497070E1,3.926596069E1,5.143074854E1
1.646376667E0,2.906767273E1,-1.569454956E1,3.926562881E1,5.131313760E1
1.656308667E0,2.929679871E1,-1.584406281E1,3.902427673E1,5.130527181E1
1.666239667E0,2.934197998E1,-1.571037292E1,3.913375854E1,5.137332639E1
1.676171667E0,2.934357452E1,-1.570305634E1,3.931401062E1,5.150944355E1
1.686103667E0,2.902537537E1,-1.591079712E1,3.958178711E1,5.159790452E1
1.696034667E0,2.924438477E1,-1.602745819E1,3.958522797E1,5.176005921E1
1.705966667E0,2.908540344E1,-1.582169342E1,3.924520874E1,5.134659760E1
1.715898667E0,2.936094666E1,-1.591889954E1,3.919380188E1,5.149398661E1
1.725829667E0,2.910708618E1,-1.593383026E1,3.913555908E1,5.130985673E1
1.735761667E0,2.959105682E1,-1.594066620E1,3.942803955E1,5.181028648E1
1.745693667E0,2.954914856E1,-1.583435822E1,3.915352631E1,5.154490957E1
1.755624667E0,2.958844757E1,-1.600312805E1,3.943402481E1,5.183260219E1
1.765556667E0,2.903777313E1,-1.616303253E1,3.936023712E1,5.151372783E1
1.775488667E0,2.936807251E1,-1.606197357E1,3.955181122E1,5.181521445E1
1.785419667E0,2.920986938E1,-1.587783051E1,3.949925232E1,5.162860549E1
1.795351667E0,2.948870850E1,-1.602588654E1,3.950967026E1,5.184039942E1
1.805282667E0,2.917527771E1,-1.588687897E1,3.919758987E1,5.138132739E1
1.815214667E0,2.930809021E1,-1.598829651E1,3.934290695E1,5.159897387E1
1.825146667E0,2.934685516E1,-1.554688263E1,3.939177704E1,5.152334971E1
1.835077667E0,2.958245850E1,-1.558755493E1,3.937172318E1,5.165487688E1
1.845009667E0,2.907701874E1,-1.596939087E1,3.914317703E1,5.130967522E1
1.854941667E0,2.933135223E1,-1.583632660E1,3.929827499E1,5.153127091E1
1.864872667E0,2.949478912E1,-1.597798157E1,3.941090393E1,5.175381946E1
1.874804667E0,2.979782104E1,-1.579288483E1,3.957672119E1,5.199655960E1
1.884736667E0,2.948365021E1,-1.564250946E1,3.900192261E1,5.133345594E1
1.894667667E0,2.958056641E1,-1.595693207E1,3.923259354E1,5.166071995E1
1.904599667E0,2.956022644E1,-1.598293304E1,3.928861618E1,5.169967599E1
1.914531667E0,2.963471985E1,-1.601314545E1,3.920570374E1,5.168872849E1
1.924462667E0,2.910951996E1,-1.599386597E1,3.868645859E1,5.098833179E1
1.934394667E0,2.933107758E1,-1.623151398E1,3.914447021E1,5.153701297E1
1.944326667E0,2.928263855E1,-1.593095398E1,3.926642609E1,5.150845011E1
1.954257667E0,2.953106689E1,-1.603838348E1,3.962322617E1,5.195491996E1
1.964189667E0,2.937765503E1,-1.611389160E1,3.892187119E1,5.135772750E1
1.974121667E0,2.956007385E1,-1.638993073E1,3.908182144E1,5.167026768E1
1.984052667E0,2.939279938E1,-1.589063263E1,3.918131256E1,5.149392308E1
1.993984667E0,2.978147888E1,-1.582262421E1,3.942564392E1,5.188133884E1
2.003916667E0,2.939768219E1,-1.609812927E1,3.960541534E1,5.188412482E1
2.013847667E0,2.932970428E1,-1.610424805E1,3.960442352E1,5.184678120E1
2.023779667E0,2.934620667E1,-1.576932526E1,3.897567368E1,5.127352731E1
2.033711667E0,2.946014404E1,-1.579815674E1,3.919866180E1,5.151715181E1
2.043642667E0,2.937014008E1,-1.580856323E1,3.927670288E1,5.152839206E1
2.053574667E0,2.963105011E1,-1.587866974E1,3.918297195E1,5.162786626E1
2.063506667E0,2.933708954E1,-1.570236206E1,3.906124878E1,5.131286538E1
2.073437667E0,2.978516388E1,-1.580803680E1,3.930666733E1,5.178864848E1
2.083369667E0,2.942044067E1,-1.596263885E1,3.907081604E1,5.144800127E1
2.093301667E0,2.962153625E1,-1.615864563E1,3.915535355E1,5.168828639E1
2.103232667E0,2.965312958E1,-1.604378510E1,3.893777847E1,5.150593875E1
2.113164667E0,2.984608459E1,-1.620127869E1,3.956558990E1,5.214121308E1
2.123096667E0,2.957130432E1,-1.627716064E1,3.944577789E1,5.191702410E1
2.133027667E0,2.966748810E1,-1.611740112E1,3.978343964E1,5.217904309E1
2.142959667E0,2.983811188E1,-1.597156525E1,3.965181732E1,5.213128076E1
2.152891667E0,2.939097595E1,-1.611263275E1,3.930710220E1,5.165747463E1
2.162822667E0,2.938896942E1,-1.618163300E1,3.958189392E1,5.188721515E1
2.172754667E0,2.939965057E1,-1.586822510E1,3.940436172E1,5.166085311E1
2.182686667E0,2.973133087E1,-1.601558685E1,3.946903992E1,5.194474150E1
2.192617667E0,2.941155243E1,-1.605318451E1,3.916727448E1,5.154434536E1
2.202549667E0,2.937767792E1,-1.597528076E1,3.949752808E1,5.175241327E1
2.212481667E0,2.952793121E1,-1.574178314E1,3.957096481E1,5.182242482E1
2.222412667E0,2.968827820E1,-1.556926727E1,3.976342010E1,5.200889851E1
2.232344667E0,2.920116425E1,-1.590541077E1,3.948133087E1,5.161846155E1
2.242276667E0,2.946041107E1,-1.623732758E1,3.955195618E1,5.192228678E1
2.252207667E0,2.946254730E1,-1.610130310E1,3.933541870E1,5.171623362E1
2.262139667E0,2.944097900E1,-1.614576721E1,3.943007660E1,5.178984441E1
2.272070667E0,2.931519318E1,-1.586130524E1,3.959268188E1,5.175463277E1
2.282002667E0,2.941867065E1,-1.582197571E1,3.966267014E1,5.185480210E1
2.291934667E0,2.939746094E1,-1.579748535E1,3.954009247E1,5.174157096E1
2.301865667E0,2.946826935E1,-1.567237091E1,3.969725037E1,5.186399324E1
2.311797667E0,2.942835236E1,-1.612872314E1,3.947037506E1,5.180805092E1
2.321729667E0,2.965840149E1,-1.602169800E1,3.971418381E1,5.209157303E1
2.331660667E0,2.967347717E1,-1.586949921E1,3.969435883E1,5.203843171E1
2.341592417E0,2.966802216E1,-1.582051849E1,3.960885239E1,5.195518772E1
2.351524417E0,2.920369720E1,-1.566860962E1,3.957851410E1,5.162189493E1
2.361455417E0,2.925520325E1,-1.558269501E1,3.948345947E1,5.155221501E1
2.371387417E0,2.937116241E1,-1.563857269E1,3.900777817E1,5.127218442E1
2.381319417E0,2.936369324E1,-1.586519623E1,3.927426910E1,5.154026722E1
2.391250417E0,2.940686798E1,-1.599761963E1,3.924338531E1,5.158227418E1
2.401182417E0,2.936852264E1,-1.605849457E1,3.948426819E1,5.176285159E1
2.411114417E0,2.933328247E1,-1.618519592E1,3.949547577E1,5.179087404E1
2.421045417E0,2.939434814E1,-1.570765686E1,3.917280960E1,5.143216113E1
2.430977417E0,2.935690308E1,-1.593627930E1,3.911132050E1,5.143430905E1
2.440909417E0,2.943968201E1,-1.568030548E1,3.910466003E1,5.139787246E1
2.450840417E0,2.938724518E1,-1.592369843E1,3.901003265E1,5.137077962E1
2.460772417E0,2.967020416E1,-1.610939789E1,3.887768555E1,5.149085500E1
2.470704417E0,2.937918854E1,-1.580732727E1,3.921276855E1,5.148445913E1
2.480635417E0,2.962319946E1,-1.607379150E1,3.919459915E1,5.169252676E1
2.490567417E0,2.947898865E1,-1.591020966E1,3.909621429E1,5.148455608E1
2.500499417E0,2.959866333E1,-1.612526703E1,3.912327576E1,5.164044746E1
2.510430417E0,2.958845520E1,-1.596588135E1,3.927332306E1,5.169893570E1
2.520362417E0,2.952543640E1,-1.605078888E1,3.952173615E1,5.187819240E1
2.530294417E0,2.975242615E1,-1.591864014E1,3.946038818E1,5.192044107E1
2.540225417E0,2.971179962E1,-1.597957611E1,3.926908112E1,5.177063474E1
2.550157417E0,2.973898315E1,-1.614855194E1,3.921166229E1,5.179514754E1
2.560089417E0,2.962567139E1,-1.617613983E1,3.939703751E1,5.187942241E1
2.570020417E0,2.972872162E1,-1.600445557E1,3.926010132E1,5.178122288E1
2.579952417E0,2.962273407E1,-1.581708527E1,3.916967773E1,5.159409088E1
2.589884417E0,2.960804749E1,-1.613419342E1,3.935844421E1,5.182697950E1
2.599815417E0,2.960142517E1,-1.619334412E1,3.962584686E1,5.204494697E1
2.609747417E0,2.966242218E1,-1.601264954E1,3.952565765E1,5.194749126E1
2.619679417E0,2.934780884E1,-1.610778809E1,3.948387146E1,5.176611658E1
2.629610417E0,2.935107422E1,-1.628791809E1,3.936660767E1,5.173501360E1
2.639542417E0,2.936539459E1,-1.599883270E1,3.981473541E1,5.199521327E1
2.649474417E0,2.962815857E1,-1.614653778E1,3.937292099E1,5.185330626E1
2.659406417E0,2.944171143E1,-1.608940125E1,3.963919067E1,5.193215421E1
2.669337417E0,2.943800354E1,-1.618453979E1,3.965686035E1,5.197308875E1
2.679269417E0,2.945408630E1,-1.603076935E1,3.942927551E1,5.176095568E1
2.689201417E0,2.954295349E1,-1.592958832E1,3.956747818E1,5.188567446E1
2.699132417E0,2.928279114E1,-1.576251984E1,3.931042099E1,5.149027177E1
2.709064417E0,2.935184479E1,-1.603221130E1,3.933058167E1,5.162806645E1
2.718996417E0,2.923625946E1,-1.601530457E1,3.981113052E1,5.192470473E1
2.728927417E0,2.934513092E1,-1.606723022E1,3.983946991E1,5.202380185E1
2.738859417E0,2.930352783E1,-1.591999817E1,4.020021057E1,5.223217414E1
2.748791417E0,2.960366058E1,-1.583534241E1,4.000105286E1,5.222278256E1
2.758722417E0,2.937810516E1,-1.604869843E1,3.977436829E1,5.198686523E1
