"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.326865667E0,1.192691040E1,3.121825790E1,-2.080525970E1,3.936609772E1
1.336795917E0,1.203440094E1,3.115029144E1,-2.045133972E1,3.915896780E1
1.346725917E0,1.207620239E1,3.120684814E1,-2.093332672E1,3.947032053E1
1.356656917E0,1.200368500E1,3.114707947E1,-2.096376038E1,3.941710621E1
1.366586917E0,1.202178192E1,3.122830963E1,-2.117794800E1,3.960096014E1
1.376516917E0,1.199568939E1,3.115588379E1,-2.114265442E1,3.951705321E1
1.386446917E0,1.213154602E1,3.100806427E1,-2.120946503E1,3.947804283E1
1.396377917E0,1.204380035E1,3.107840729E1,-2.101678467E1,3.940337250E1
1.406307917E0,1.227504730E1,3.113098907E1,-2.120827484E1,3.961825575E1
1.416237917E0,1.222740173E1,3.120061111E1,-2.163034058E1,3.988557534E1
1.426167917E0,1.220571136E1,3.128020096E1,-2.139357758E1,3.981350931E1
1.436098917E0,1.229486847E1,3.136529541E1,-2.110134888E1,3.975188639E1
1.446028917E0,1.206024933E1,3.119484711E1,-2.125492859E1,3.962751682E1
1.455958917E0,1.235029602E1,3.107902908E1,-2.129405975E1,3.964685159E1
1.465889917E0,1.231258392E1,3.111418152E1,-2.148618317E1,3.976616755E1
1.475819917E0,1.239549255E1,3.122629547E1,-2.135520935E1,3.980922922E1
1.485749917E0,1.224233246E1,3.132207108E1,-2.134425354E1,3.983119380E1
1.495679917E0,1.205653381E1,3.130219650E1,-2.097648621E1,3.956261476E1
1.505610917E0,1.195534515E1,3.124460220E1,-2.068946838E1,3.933458461E1
1.515540917E0,1.203233337E1,3.113718033E1,-2.090441132E1,3.938648826E1
1.525470917E0,1.204772186E1,3.096915436E1,-2.052188110E1,3.905616120E1
1.535400917E0,1.210731506E1,3.088028717E1,-2.069341278E1,3.909471251E1
1.545331917E0,1.199511719E1,3.098776627E1,-2.042093658E1,3.900178388E1
1.555261917E0,1.211066437E1,3.088632584E1,-2.063569641E1,3.907000488E1
1.565191917E0,1.200189209E1,3.074861145E1,-2.053168488E1,3.887251733E1
1.575121917E0,1.193679810E1,3.089545822E1,-2.089764404E1,3.916283971E1
1.585052917E0,1.178103638E1,3.085336304E1,-2.055139160E1,3.889836148E1
1.594982917E0,1.205228424E1,3.107365417E1,-2.090205383E1,3.934114123E1
1.604912917E0,1.194895935E1,3.105671692E1,-2.070129395E1,3.918980564E1
1.614842917E0,1.231813049E1,3.112530899E1,-2.071256256E1,3.936408828E1
1.624773917E0,1.195204163E1,3.114946747E1,-2.083525085E1,3.933507723E1
1.634703917E0,1.182812500E1,3.147822571E1,-2.117870331E1,3.974066819E1
1.644633917E0,1.177927399E1,3.127598953E1,-2.082074738E1,3.937565667E1
1.654563917E0,1.198923492E1,3.143212509E1,-2.108608246E1,3.970318772E1
1.664494917E0,1.201264954E1,3.150547409E1,-2.122728729E1,3.984339810E1
1.674424917E0,1.183535004E1,3.142597961E1,-2.079636383E1,3.949881585E1
1.684354917E0,1.211148834E1,3.123435593E1,-2.106121826E1,3.957079800E1
1.694285917E0,1.203352356E1,3.137681961E1,-2.078923798E1,3.951585649E1
1.704215917E0,1.238606262E1,3.136649704E1,-2.102360535E1,3.973995050E1
1.714145917E0,1.192453766E1,3.146397400E1,-2.117091370E1,3.975404187E1
1.724075917E0,1.218473816E1,3.114539719E1,-2.121629333E1,3.960599339E1
1.734006917E0,1.208829498E1,3.098696899E1,-2.072237396E1,3.918846649E1
1.743936917E0,1.198668671E1,3.109998703E1,-2.102580261E1,3.940779399E1
1.753866917E0,1.174801636E1,3.100432587E1,-2.066905212E1,3.907037019E1
1.763796917E0,1.218350220E1,3.112160873E1,-2.092347717E1,3.943075136E1
1.773727917E0,1.210668945E1,3.120796204E1,-2.074334717E1,3.938013809E1
1.783657917E0,1.258138275E1,3.129934692E1,-2.091395569E1,3.969047559E1
1.793587917E0,1.225347900E1,3.127642822E1,-2.049559784E1,3.935012377E1
1.803517917E0,1.246973419E1,3.099887085E1,-2.061991119E1,3.926327804E1
1.813448917E0,1.220442963E1,3.121372604E1,-2.046389008E1,3.926850638E1
1.823378917E0,1.237799835E1,3.114982224E1,-2.090125275E1,3.950175483E1
1.833308917E0,1.219283295E1,3.110787964E1,-2.060031128E1,3.925223784E1
1.843238917E0,1.232595062E1,3.129024887E1,-2.093553925E1,3.961446121E1
1.853169917E0,1.221173859E1,3.094042206E1,-2.070805359E1,3.918239094E1
1.863099917E0,1.233049011E1,3.119005966E1,-2.091580200E1,3.952634035E1
1.873029917E0,1.234870911E1,3.128800583E1,-2.079291534E1,3.954459829E1
1.882959917E0,1.235720062E1,3.111503983E1,-2.118122101E1,3.961679232E1
1.892890917E0,1.222476959E1,3.087331772E1,-2.082840729E1,3.919731226E1
1.902820917E0,1.236701965E1,3.092491531E1,-2.094912720E1,3.934665796E1
1.912750917E0,1.211678314E1,3.084064484E1,-2.088743591E1,3.916946242E1
1.922681917E0,1.229212952E1,3.099471283E1,-2.120748901E1,3.951615191E1
1.932611917E0,1.205059052E1,3.098152542E1,-2.101763153E1,3.932953705E1
1.942541917E0,1.202584076E1,3.114947128E1,-2.107960510E1,3.948746837E1
1.952471917E0,1.180335999E1,3.128474045E1,-2.124095154E1,3.961353701E1
1.962402917E0,1.216719055E1,3.126424789E1,-2.133818817E1,3.975942651E1
1.972332917E0,1.179261780E1,3.086703491E1,-2.134764862E1,3.933906176E1
1.982262917E0,1.213724518E1,3.072693253E1,-2.158057404E1,3.946109830E1
1.992192917E0,1.195664215E1,3.102711487E1,-2.104608154E1,3.935201007E1
2.002123917E0,1.210686493E1,3.095951843E1,-2.110514069E1,3.937632440E1
