"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.605129542E0,-6.336967468E0,-1.867893219E1,-4.311757660E1,4.741503007E1
2.615060542E0,-6.301246643E0,-1.882376862E1,-4.347915649E1,4.779620302E1
2.624991542E0,-6.320507050E0,-1.851915741E1,-4.293669128E1,4.718545813E1
2.634922542E0,-6.297554016E0,-1.874620819E1,-4.338838959E1,4.768261590E1
2.644853542E0,-6.385303497E0,-1.862957001E1,-4.293619537E1,4.723716601E1
2.654784542E0,-6.202621460E0,-1.849086761E1,-4.316986084E1,4.737110494E1
2.664715542E0,-6.193672180E0,-1.836213684E1,-4.275045013E1,4.693751837E1
2.674646542E0,-6.363868713E0,-1.867436981E1,-4.277333832E1,4.710402726E1
2.684577542E0,-6.164287567E0,-1.863088989E1,-4.277401733E1,4.706086546E1
2.694508542E0,-6.354774475E0,-1.866647339E1,-4.344085693E1,4.770669176E1
2.704439542E0,-6.304084778E0,-1.834824371E1,-4.373990631E1,4.784954479E1
2.714370542E0,-6.298294067E0,-1.888206482E1,-4.358115387E1,4.791156283E1
2.724301542E0,-6.505699158E0,-1.833265686E1,-4.354354858E1,4.769120519E1
2.734232542E0,-6.427459717E0,-1.841793060E1,-4.303468323E1,4.724951181E1
2.744163542E0,-6.328025818E0,-1.831979370E1,-4.261413574E1,4.681477670E1
2.754094542E0,-6.501277924E0,-1.841638184E1,-4.297454071E1,4.720424646E1
2.764025542E0,-6.375057220E0,-1.822778320E1,-4.264483643E1,4.681319802E1
2.773956542E0,-6.411998749E0,-1.853232574E1,-4.318955994E1,4.743309934E1
2.783887542E0,-6.350807190E0,-1.818037415E1,-4.293261719E1,4.705388799E1
2.793818542E0,-6.542278290E0,-1.853312683E1,-4.294858551E1,4.723197214E1
2.803749542E0,-6.350803375E0,-1.837783051E1,-4.255908966E1,4.679052757E1
2.813680542E0,-6.335529327E0,-1.868141174E1,-4.310839081E1,4.740746180E1
2.823612542E0,-6.180629730E0,-1.846961212E1,-4.300642395E1,4.721100779E1
2.833543542E0,-6.303348541E0,-1.849540710E1,-4.306610870E1,4.729166952E1
2.843474542E0,-6.269104004E0,-1.821151733E1,-4.312723541E1,4.723261016E1
2.853405542E0,-6.344291687E0,-1.845284271E1,-4.279290771E1,4.703180192E1
2.863336542E0,-6.131065369E0,-1.824855804E1,-4.287862396E1,4.700187471E1
2.873267542E0,-6.411220551E0,-1.856951141E1,-4.300651550E1,4.728097798E1
2.883198542E0,-6.449386597E0,-1.821353149E1,-4.297503662E1,4.711879762E1
2.893129542E0,-6.315883636E0,-1.832931519E1,-4.297457123E1,4.714517954E1
2.903060542E0,-6.277614594E0,-1.822285461E1,-4.263519287E1,4.678932086E1
2.912991542E0,-6.400325775E0,-1.834700012E1,-4.303572845E1,4.721917521E1
2.922922542E0,-6.284828186E0,-1.829410553E1,-4.298256683E1,4.713464134E1
2.932853542E0,-6.399887085E0,-1.851410675E1,-4.318399048E1,4.741927601E1
2.942784542E0,-6.296447754E0,-1.830715942E1,-4.311611176E1,4.726305569E1
2.952715542E0,-6.112884521E0,-1.863011169E1,-4.328846741E1,4.752199311E1
2.962646542E0,-6.228244781E0,-1.808976746E1,-4.313406372E1,4.718663129E1
2.972577542E0,-6.330032349E0,-1.861796570E1,-4.298436737E1,4.726895170E1
2.982508542E0,-6.017375946E0,-1.828716278E1,-4.294445038E1,4.706224553E1
2.992439542E0,-6.202808380E0,-1.850183868E1,-4.297760010E1,4.720028577E1
3.002370542E0,-6.163967133E0,-1.837739563E1,-4.262963867E1,4.682957670E1
3.012301542E0,-6.248241425E0,-1.849437714E1,-4.272745514E1,4.697571638E1
3.022232542E0,-6.134391785E0,-1.858458710E1,-4.279291534E1,4.705583113E1
3.032163542E0,-6.475345612E0,-1.836947632E1,-4.308462524E1,4.728268915E1
3.042094542E0,-6.446765900E0,-1.843045807E1,-4.296982574E1,4.719797135E1
3.052025542E0,-6.339195251E0,-1.838218689E1,-4.316111755E1,4.733890852E1
3.061956542E0,-6.480037689E0,-1.829967499E1,-4.303125763E1,4.720760666E1
3.071887542E0,-6.509708405E0,-1.850875854E1,-4.321994781E1,4.746487476E1
3.081819542E0,-6.286865234E0,-1.840300751E1,-4.301410675E1,4.720602440E1
3.091750542E0,-6.452884674E0,-1.853263855E1,-4.311894226E1,4.737448252E1
3.101681542E0,-6.312370300E0,-1.862195587E1,-4.310988617E1,4.738233368E1
3.111612542E0,-6.189910889E0,-1.848099518E1,-4.297601318E1,4.718898059E1
3.121543542E0,-6.282173157E0,-1.849116516E1,-4.288847351E1,4.712547134E1
3.131474542E0,-6.327217102E0,-1.840020752E1,-4.286725616E1,4.707656491E1
3.141405542E0,-6.354961395E0,-1.827166748E1,-4.294522858E1,4.710129536E1
3.151336542E0,-6.449714661E0,-1.845633698E1,-4.340481567E1,4.760476045E1
3.161267542E0,-6.509037018E0,-1.836936951E1,-4.320187378E1,4.739412619E1
3.171198542E0,-6.361339569E0,-1.845143127E1,-4.300260925E1,4.722442546E1
3.181129542E0,-6.457118988E0,-1.854634094E1,-4.307562256E1,4.734100133E1
3.191060542E0,-6.602764130E0,-1.864271545E1,-4.306106567E1,4.738568044E1
