"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.208468542E0,1.202626801E1,-1.557749176E1,-5.045857239E1,5.416047359E1
2.218401542E0,1.207125854E1,-1.572407532E1,-5.058216858E1,5.432787135E1
2.228333542E0,1.215287781E1,-1.569464874E1,-5.013711548E1,5.392350866E1
2.238266542E0,1.229113770E1,-1.578569031E1,-5.038350677E1,5.421031119E1
2.248198542E0,1.204362488E1,-1.565712738E1,-5.050605011E1,5.423150040E1
2.258130542E0,1.217765045E1,-1.571462250E1,-5.068728638E1,5.444672195E1
2.268063542E0,1.246047974E1,-1.587747955E1,-4.999172211E1,5.391224528E1
2.277995542E0,1.230871582E1,-1.585873413E1,-5.053544617E1,5.437678965E1
2.287928542E0,1.230872345E1,-1.571054077E1,-5.049025726E1,5.429172905E1
2.297860542E0,1.238131714E1,-1.581718445E1,-5.041393280E1,5.426826843E1
2.307793542E0,1.231961823E1,-1.568500519E1,-5.037946320E1,5.418378625E1
2.317725542E0,1.228911591E1,-1.577085114E1,-5.034629822E1,5.417095033E1
2.327657542E0,1.238526154E1,-1.581089020E1,-5.046530151E1,5.431505877E1
2.337590542E0,1.200737000E1,-1.597423553E1,-5.033263397E1,5.415465980E1
2.347522542E0,1.184730530E1,-1.587883759E1,-5.024594879E1,5.401066095E1
2.357455542E0,1.184990692E1,-1.560058594E1,-5.006600189E1,5.376246945E1
2.367387542E0,1.184853363E1,-1.559996033E1,-5.031704712E1,5.399584931E1
2.377320542E0,1.216651154E1,-1.568623352E1,-5.049431610E1,5.425640869E1
2.387252542E0,1.239670563E1,-1.570336914E1,-5.064017487E1,5.444907183E1
2.397185542E0,1.207855225E1,-1.564692688E1,-5.049758148E1,5.422843793E1
2.407117542E0,1.205048370E1,-1.553807068E1,-5.044312286E1,5.414013707E1
2.417049542E0,1.217833710E1,-1.569364166E1,-5.025413513E1,5.403776810E1
2.426982542E0,1.238369751E1,-1.572457886E1,-5.044133759E1,5.426736479E1
2.436914542E0,1.234780884E1,-1.585559845E1,-4.997563934E1,5.386495069E1
2.446847542E0,1.222061920E1,-1.574683380E1,-5.027941132E1,5.408627840E1
2.456779542E0,1.229128265E1,-1.589192963E1,-5.025780487E1,5.412463401E1
2.466712542E0,1.217590332E1,-1.615584564E1,-5.017816925E1,5.410279696E1
2.476644542E0,1.205627441E1,-1.588726044E1,-5.049684143E1,5.429263110E1
2.486577542E0,1.225349426E1,-1.598778534E1,-5.034751892E1,5.422757659E1
2.496509542E0,1.222228241E1,-1.588326263E1,-5.033007050E1,5.417359334E1
2.506441542E0,1.221208954E1,-1.585630798E1,-5.053225708E1,5.435132601E1
2.516374542E0,1.202441406E1,-1.559159851E1,-5.037700653E1,5.408814348E1
2.526306542E0,1.222645569E1,-1.569477081E1,-5.052572632E1,5.430157520E1
2.536239542E0,1.201605988E1,-1.585533142E1,-5.034746552E1,5.413542752E1
2.546171542E0,1.203273773E1,-1.609055328E1,-5.054180145E1,5.438902809E1
2.556104542E0,1.192817688E1,-1.571017456E1,-5.027227783E1,5.400363790E1
2.566036542E0,1.186447144E1,-1.592487335E1,-5.052678680E1,5.428925730E1
2.575968542E0,1.183090210E1,-1.574731445E1,-5.076482391E1,5.445195592E1
2.585901542E0,1.210890198E1,-1.605992889E1,-5.081530762E1,5.465109616E1
2.595833542E0,1.187162018E1,-1.593599701E1,-5.063323212E1,5.439315730E1
2.605766542E0,1.178296661E1,-1.635414124E1,-5.053427887E1,5.440597006E1
2.615698542E0,1.174914551E1,-1.597592926E1,-5.062818146E1,5.437357349E1
2.625631542E0,1.186325836E1,-1.625257111E1,-5.037854004E1,5.424832037E1
2.635563542E0,1.199522400E1,-1.607678986E1,-5.024689484E1,5.410267102E1
2.645496542E0,1.164231110E1,-1.613764954E1,-5.072575378E1,5.448916624E1
2.655428542E0,1.205480957E1,-1.563938141E1,-5.073355103E1,5.444081083E1
2.665360542E0,1.205220032E1,-1.579972839E1,-5.064652252E1,5.440548863E1
2.675293542E0,1.196881104E1,-1.566939545E1,-5.037374115E1,5.409525107E1
2.685225542E0,1.191331482E1,-1.583415222E1,-5.052441406E1,5.427120657E1
2.695158542E0,1.200833893E1,-1.589276886E1,-5.062404633E1,5.440197030E1
2.705090542E0,1.196228027E1,-1.607822418E1,-5.068338776E1,5.450147922E1
2.715023542E0,1.199678802E1,-1.589167023E1,-5.082214355E1,5.458349916E1
2.724955542E0,1.186873627E1,-1.607901001E1,-5.080317688E1,5.459271238E1
2.734887542E0,1.210520172E1,-1.590485382E1,-5.036936951E1,5.419016210E1
2.744820542E0,1.209504700E1,-1.604566193E1,-5.036525726E1,5.422557116E1
2.754752542E0,1.221403503E1,-1.562473297E1,-5.036794281E1,5.413173372E1
2.764685542E0,1.182741547E1,-1.582552338E1,-5.047560883E1,5.420444662E1
2.774617542E0,1.193634033E1,-1.590960693E1,-5.022025299E1,5.401542024E1
2.784550542E0,1.216080475E1,-1.614137268E1,-5.068646240E1,5.456689981E1
2.794482542E0,1.213810730E1,-1.594097900E1,-5.041938782E1,5.425461389E1
2.804415542E0,1.211970520E1,-1.627719879E1,-5.032323456E1,5.426105778E1
2.814347542E0,1.223229218E1,-1.588726044E1,-5.012892914E1,5.399021719E1
2.824279542E0,1.198552704E1,-1.620827484E1,-5.026864624E1,5.415992824E1
2.834212542E0,1.217873383E1,-1.604012299E1,-5.018579102E1,5.407606423E1
2.844144542E0,1.214896393E1,-1.592579651E1,-5.023590088E1,5.408210477E1
2.854077542E0,1.217178345E1,-1.572271729E1,-5.000555420E1,5.381367486E1
2.864009542E0,1.219621277E1,-1.579356384E1,-5.001051331E1,5.384455131E1
2.873942542E0,1.240270233E1,-1.587028503E1,-5.036242676E1,5.424082412E1
2.883874542E0,1.232055664E1,-1.598569489E1,-5.025592804E1,5.415714967E1
2.893806542E0,1.245761871E1,-1.612716675E1,-5.006459045E1,5.405313116E1
2.903739542E0,1.220652008E1,-1.627919769E1,-5.042651367E1,5.437687644E1
2.913671542E0,1.210061646E1,-1.597191620E1,-5.044689178E1,5.428089826E1
2.923604542E0,1.214998627E1,-1.607559967E1,-5.065729523E1,5.451796613E1
2.933536542E0,1.209969330E1,-1.607630157E1,-5.037649536E1,5.424611816E1
2.943469542E0,1.200097656E1,-1.611025238E1,-5.039439392E1,5.425088579E1
2.953401542E0,1.219616699E1,-1.608859253E1,-5.021276855E1,5.411941819E1
2.963334625E0,1.223559570E1,-1.622692871E1,-5.038255310E1,5.432701607E1
